,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140,CFTg89,CFTg91,CFTg99,CFTg106,CFTg107,CFTg120,CFTg121,CFTg122,CFTg123,CFTg134,CFTg135,CFTg136,QC3,QC4,QC5,QC6,QC7,QC8
Compound,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,QC,QC,QC,QC,QC,QC
Argininosuccinic acid,0.927625643,1.074771193,0.766618542,1.201606754,0.95805998,0.925403832,0.979904541,0.928243126,0.739057805,1.266052826,0.954095435,0.992744875,0.982632762,1.005678526,0.787802275,0.865438804,0.802960804,0.573174661,0.866127033,0.964635514,1.076297616,1.108221577,0.908457936,1.055596774,0.987404348,1.068139745,0.79204769,0.852223456,0.943627163,0.809178245,0.919385073,0.971153187,0.984179556,0.924692837,0.687986284,0.853292469,0.959432193,1.02208817,0.922151064,0.999328664,1.223808977,1.224639432,1.096123051,1.004932837,0.998903918,0.994761977,1.020662266,1.005210759,0.970956406
AZELAIC ACID,0.793358306,1.181088873,1.019207405,0.783823421,1.07659627,1.297347402,0.835223835,0.866652334,0.946173464,0.650571775,0.727576483,0.811459477,1.094700812,1.087560268,1.035770397,0.777218335,0.904555041,1.062469876,0.750160729,0.893944403,1.313086947,0.723240958,0.819314917,0.784777638,0.837047082,1.450859427,0.913921959,0.928075028,0.864074102,0.937638763,0.801104639,1.030225527,0.925561912,0.976670429,0.628085444,1.286212718,1.024533188,0.901361716,1.425352598,0.954661895,1.117633723,1.237378412,0.945048945,0.979984861,0.982425497,1.016210494,0.979511295,0.979408897,1.090590952
C16 Sphingosine,1.182540883,1.231378586,2.299875744,0.865459641,1.200870385,1.016051745,1.062735259,1.038846459,1.270783714,1.209095958,1.11633609,1.118845329,1.07593364,1.137938246,0.981396586,1.538760327,0.986840684,0.949017555,0.814562927,1.074563213,0.937184009,0.902486591,1.272155335,1.211903472,0.872871391,0.881348895,1.125947653,1.139588956,0.935852481,0.952108687,0.891910343,1.391193632,1.074954522,0.964887118,1.01291512,1.147084058,0.981523899,1.741100417,1.120156651,1.059284039,1.157183123,1.329250347,1.402463682,1.021955829,0.966227553,1.024248664,0.970901127,1.099081843,0.96493404
Campesterol,0.885985653,1.697529424,1.620921349,0.435886021,1.226748886,0.856699484,1.233703428,0.984597426,0.980787672,0.459996946,0.899972447,1.153536145,0.561182321,1.296993887,0.9239336,0.304624299,1.0141152,0.236925776,2.07412322,0.163463297,0.567964941,0.548162054,0.133241892,0.431322202,0.286776598,0.55639736,1.330061109,1.418723029,1.184125339,1.235673962,1.241496432,0.350027812,0.442590857,0.217335933,0,1.599817102,0.154266958,0,0,0,0.356106557,0.087566915,0.174344114,1.034025502,1.068122816,0.971000685,0.96900538,1.024912698,0.72282378
CARNOSINE,1.120793055,0.942804458,0.636855787,0.98918378,0.775725249,0.851531762,0.819050164,1.298785336,1.208211166,1.243791087,1.229622322,0.98964558,0.650492759,0.871920467,1.407437366,0.898651221,0.886265182,1.047894113,0.917794755,0.706576982,1.096178229,0.983370459,0.976728961,0.921957447,0.617963229,1.131048602,0.961662378,0.644577979,1.115236832,0.901124537,1.30330937,1.046988897,0.954031767,0.888142575,0.734996236,0.850198313,0.907278671,1.157594778,0.652339929,0.992035548,1.321094299,0.993688682,0.959341776,1.013046533,1.016224281,0.985406635,1.014943916,0.983375427,0.972815573
Cer(18:1/18:0),1.032150111,1.009069937,0.964179378,0.768294194,1.002098782,0.848528949,0.873046579,1.002719967,0.733347302,1.109595264,0.766531362,0.794988974,1.004631889,0.796924312,0.808502898,0.980563762,0.845653956,0.978999677,0.972153833,0.972464697,0.922973821,1.026179508,0.958059611,0.902370052,1.027111401,0.947100497,0.99860655,0.912292307,0.940202034,0.923050981,0.959213508,1.005748913,1.110846436,1.00956981,0.917895698,0.972720121,0.84957529,1.022389609,1.02403684,1.086631431,0.964889019,1.085345101,1.061004734,0.97659996,0.994457137,1.004462493,1.005210983,1.005088032,1.005155525
Cholesterol,0.946655413,0.909340005,1.019069723,1.073015088,0.934331159,0.963683334,1.088942215,1.007185234,1.134633536,1.098576218,1.026283187,1.087752912,1.017082999,0.968962083,0.934851785,1.02867933,0.994599344,1.045127446,0.981464045,1.04331527,0.969041219,0.941199431,0.968711225,0.925590096,0.929166379,0.870161869,0.955550157,0.895728436,1.009299994,1.069107743,0.932679363,0.93218794,0.989484422,0.854712449,0.987584212,1.092392879,0.910096026,0.972806751,0.907606864,0.914401315,0.952846336,0.917826477,0.974154218,1.004735082,0.999787701,1.001927757,1.03636343,0.995169497,0.995091944
CITRATE,1.026280968,0.868575745,0.867687057,0.990993115,0.841804814,1.080154672,0.924008831,1.200006452,0.765377137,0.792753348,0.887566589,0.798318397,0.924493554,0.927265483,1.059016486,0.874863596,0.831907723,1.05098426,0.915336287,0.908656742,1.079604157,1.215618086,0.925236802,0.842308815,1.172301488,0.814024485,0.837975588,0.710272703,0.869045352,0.964055116,0.950380021,0.790396937,1.083297128,1.158706054,0.992591405,0.860738253,1.143632407,0.860417756,1.24217479,0.765216129,0.94815912,0.989599232,1.015992586,0.982611452,0.987108559,0.984281047,1.012917963,1.013334821,1.012995216
CITRULLINE,1.076358138,1.246047608,0.775766531,0.752005392,0.553897129,0.762603635,0.620167328,1.094658847,0.707487673,1.176135344,0.817570037,1.240214957,0.844229172,0.775351129,0.562334866,0.684223772,0.955647746,0.628549306,0.827151321,0.942521982,1.091422546,1.338998956,0.849486331,0.849763863,0.961152421,1.282540137,1.047521146,0.80094116,0.978660025,0.714130322,0.850980209,0.999772241,1.028254675,0.70815047,0.66799603,0.963581404,0.883633383,0.869242874,1.079006784,1.130819962,0.958817602,0.880960733,0.842177753,0.987545343,1.004257429,1.047169147,0.987167228,1.010652076,0.988959562
CMP,1.039061228,1.202411292,0.877411359,0.882344961,1.390718826,0.806244894,0.907698464,0.743473899,0.965666801,1.096632091,0.671766729,0.96856596,0.888843428,0.90545642,1.052753239,1.022315387,0.993938544,0.732937166,0.99010654,0.800924329,1.077569737,0.970526577,1.011938892,0.997247248,1.000177809,0.755603789,1.045177582,1.166373542,0.857856096,0.970325741,1.121609935,1.112312944,0.88517013,1.229236726,1.023873839,1.15561927,1.147957453,0.828139579,0.664391719,1.014779503,0.754114774,1.023432172,0.772177079,0.997530857,1.004547537,0.988272992,0.988752844,1.070980988,0.989931412
