Feature.name,CFTg107,CFTg121,CF95,FTg133,F141,CFTg135,CF108,CF92,FTg125,F138,CFTg91,CF100,CFTg134,CFTg89,FTg117,F116,F112,FTg113,FTg118,FTg126,FTg130,CF104,FTg119,CFTg136,F109,CFTg123,F129,CF98,CF93,CFTg99,F137,CFTg120,F114,CFTg106,FTg115,CF94,FTg140,CFTg122,CF101,FTg127,CF97,FTg124,F132,QC3,QC4,QC5,QC6,QC7,QC8
,Tg1000,Tg1000,WT1000,Tg0,WT0,Tg1000,WT1000,WT1000,Tg0,WT0,Tg1000,WT1000,Tg1000,Tg1000,Tg0,WT0,WT0,Tg0,Tg0,Tg0,Tg0,WT1000,Tg0,Tg1000,WT0,Tg1000,WT0,WT1000,WT1000,Tg1000,WT0,Tg1000,WT0,Tg1000,Tg0,WT1000,Tg0,Tg1000,WT1000,Tg0,WT1000,Tg0,WT0,QC,QC,QC,QC,QC,QC
v149,0.735683563,0.974471077,1.687038598,0.692581802,0.69727524,0.965314358,0.714439717,1.033462512,0.866229478,0.837097138,1.017252436,1.103252957,1.041877979,1.022194339,0.868870435,0.827910721,1.008194716,0.817349175,1.098373862,1.133008576,0.786434343,0.920845762,1.214668092,1.35404351,0.964254388,1.032167838,0.695286734,1.040855645,0.84441897,0.705083208,0.99614921,1.21000482,0.749296765,0.887959394,1.229264022,1.037940221,0.865490844,0.770658631,1.317763764,1.101074656,0.979878899,0.796049663,0.850084506,1.006339769,0.932792915,1.00601959,1.006003089,1.006143459,0.979547346
v150,1.060043324,0.929551813,0.853889426,1.058101299,1.149157036,1.145609679,0.893741857,0.775101127,0.986407476,0.926078998,1.051428338,1.106109656,0.887854662,0.96152903,0.855823184,0.940761745,1.068803278,1.208632504,1.113915431,1.012276549,0.996099795,1.063423565,1.069125637,1.146602263,0.727734224,1.247697444,0.83726387,1.045887962,0.895470862,0.842289154,1.00442523,0.966864626,0.866924323,0.881015354,1.175739008,0.91347549,1.032402043,0.983364175,1.351668171,1.056425054,0.743287934,1.065071186,0.765584453,1.003991002,1.004073677,1.002754005,1.004105289,0.951923858,0.995791755
v151,1.033047675,1.009960408,0.940458762,1.037855461,0.988278137,0.934805692,0.891960947,1.074036602,0.864659388,1.01778177,1.047686687,1.057094424,0.927847801,0.814871092,0.895142105,0.791341681,0.943525599,1.029873821,0.96043746,0.854851111,1.003614396,1.120861877,0.883389368,0.954332191,0.885742516,1.053366658,1.013806641,0.956320791,0.861240082,0.776921563,1.004521993,0.887869189,0.979353849,0.896886679,0.964778811,1.057390383,1.048368054,1.037098587,1.197516599,1.027653629,0.884644258,0.977219069,0.980297902,0.941621531,0.990179075,1.008914079,1.008893893,0.9907373,1.008600633
v152,1.47047143,1.152320255,0.852242615,1.153790436,0.70533585,0.98984023,0.914096809,1.539097985,0.23950818,1.019085086,0.612415505,1.459406516,0.879998445,0.558668095,0.260296514,0.488552558,0.38843124,0.67247778,0.863531446,0.761600186,1.274150914,1.016881027,0.670245875,1.117867856,1.462596908,1.216333757,0.338972038,0.754417826,0.724322696,1.141707906,0.791859436,0.494242898,1.040099465,0.918687799,0.542043897,1.34822586,0.55407752,0.597930602,0.655643474,1.372429082,0.959838873,1.279289361,1.161525516,0.753747166,1.036632361,0.986057838,1.026517439,0.950294193,1.085828234
v153,1.05604133,0.905107586,0.876323328,0.906532887,0.900159165,0.894058009,0.98657349,1.024798406,0.719622938,1.053225281,0.970956192,0.957438091,0.944057789,0.76047444,0.892193934,0.903507881,0.890520278,0.881535235,0.875470724,0.919073804,1.015051919,1.014244567,0.816729092,0.970156357,1.008142577,1.046057675,1.015430886,0.878628835,0.958843686,0.94670635,1.138244382,0.976693916,1.039977433,0.911689596,0.97893513,1.053188079,0.907720201,0.979214063,1.185141729,0.93969364,0.928937491,1.069550407,1.070093432,0.969431224,1.008136545,0.992025722,1.007276145,0.99255646,1.008027222
v154,0.998135636,0.934500762,0.827703533,1.120292183,0.894458272,0.931982468,0.905986813,0.939064875,0.909846267,0.947536816,0.965990859,0.993523845,0.987411516,0.825189809,0.918488864,0.839578486,0.848638956,1.053028703,1.101589605,0.981418613,1.101066855,1.218331705,1.019644153,0.872980002,0.977106593,1.101342625,1.027596973,0.885487901,0.808847585,0.78924514,1.07938263,0.833214105,1.044564587,0.979784799,0.974327832,1.03314481,1.063283211,0.995671693,1.14431147,1.160025621,0.780537993,0.932844365,1.119834872,0.996518136,0.999882695,0.996442428,0.992998336,1.00339779,1.013814387
v155,0.830329426,0.835663187,1.248384128,0.855246194,1.343417645,0.713032372,1.11170803,1.347072984,0.787353123,1.159863902,0.576652518,0.862025966,0.978066679,0.902339612,0.69419758,1.050115687,0.981741288,0.893988288,0.857438375,0.966600199,0.933689287,0.730875635,0.709035962,0.671296505,0.787843351,0.810156833,0.603143153,1.071868334,1.233429335,0.787193373,1.210844923,0.715086828,1.01098851,0.789429105,0.913023496,1.096926938,0.855531706,0.83938729,1.117400439,0.690676791,1.189147808,0.851807919,1.089364665,0.994504625,1.051538139,1.005390321,0.994534501,0.999073229,1.000232024
v156,1.18680192,1.243013369,0.865781861,0.751154259,0.539697442,1.068076989,0.682010045,1.317619427,0.739012557,0.738824639,0.765811619,1.480866437,1.513591006,0.736182102,1.191380219,1.267599631,0.731476832,0.917892933,1.288190064,1.052037885,1.055406388,1.279425637,0.948288047,0.592071348,1.086056041,1.550882809,0.916762745,1.093051857,0.867936523,0.832115259,1.048274317,1.352778581,0.641963282,0.999647167,1.180361552,1.210220327,1.150369768,0.891627267,0.967491434,1.179639281,1.007034883,0.902971837,0.74927213,1.009461031,0.968202801,1.01025631,1.009407305,1.05974779,0.989601776
v157,1.625423325,0.8889998,1.064219092,1.28605588,0.482310521,1.047009918,0.911248278,2.036990697,0.751175527,1.120170409,0.994092444,1.246584716,1.031385962,1.300608332,0.740343239,0.93153582,0.896968815,0.736746269,0.867975326,0.682199266,1.052672083,1.002550503,0.927558112,0.882140963,0.61813464,1.069489854,0.649530971,0.563072099,1.237549809,0.842287846,1.059654064,0.793221263,0.817542315,0.884999197,0.861291597,1.024386094,0.658422861,0.632102526,0.714802782,0.743434524,0.756755983,1.143310915,0.879471776,0.938495631,1.013300373,0.985277908,1.012298026,1.012022755,0.985938928
v158,1.125773719,1.055073649,1.06739203,1.064041687,0.979519251,1.06540319,1.021853615,0.964319519,1.026431596,0.983928138,1.046584029,1.187959255,0.950693649,0.961837271,1.025302246,1.108473811,0.934897948,0.90328328,0.96620384,0.968815431,1.073803299,0.954435828,0.977440041,1.124332277,0.976046908,1.008153717,0.97897032,0.995724219,0.931896231,0.960592603,0.940796909,0.966239754,1.036556285,0.965507449,1.000737973,1.140105926,0.935727663,0.98018235,0.926363117,0.973649455,1.065539108,1.057086822,0.95372729,1.005264958,0.994156353,1.00534604,0.986711712,1.005245821,0.994374749
