,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108,FTg113,FTg115,FTg117,FTg118,FTg119,FTg124,FTg125,FTg126,FTg127,FTg130,FTg133,FTg140,CFTg89,CFTg91,CFTg99,CFTg106,CFTg107,CFTg120,CFTg121,CFTg122,CFTg123,CFTg134,CFTg135,CFTg136,QC3,QC4,QC5,QC6,QC7,QC8
Compound,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg0,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,Tg1000,QC,QC,QC,QC,QC,QC
LysoPC(18:1),615887.0087,635528.0958,573404.6825,564862.7933,618504.023,638310.5066,692156.2487,691404.1983,629065.1696,774333.6712,557781.792,760532.9389,582255.9199,583686.1749,574583.4588,631808.356,676552.1289,638772.7654,539116.2444,600482.3355,626673.8196,615036.8438,613820.2759,621006.4527,623860.3993,549420.97,671616.4957,674457.7568,613449.5466,588669.2513,652994.9432,611718.8452,588671.4696,578157.2112,602819.2603,568158.0171,601083.0709,601364.5491,645667.343,664091.4083,603769.8126,522283.879,641315.4111,568801.9742,610958.2955,660984.8433,675841.8933,700751.0533,761410.7578
LysoPC(18:2),3144.911791,3159.646176,3670.286368,3906.25082,3086.003313,4608.760695,3360.528883,3713.005422,3405.732876,5029.869216,2784.07244,4623.945214,3232.081915,2802.751788,3700.891095,3446.989291,4265.498043,4045.608086,2643.067947,3743.348861,3548.429095,3732.505145,4105.134452,3785.639758,4915.328809,3583.594458,5229.034517,4884.186946,4264.489957,3487.143501,4163.070952,4361.329013,3320.71487,2950.749413,4892.323744,3843.397838,4365.851225,4425.421285,4602.929852,4670.796297,3559.164,3553.017599,4317.463068,3640.131272,3394.481925,3657.817976,3858.83334,3928.298184,4256.837515
LysoPC(20:4),47992.55764,46958.97561,43868.10934,40962.51745,53902.97805,47567.41823,51380.17833,59898.12537,50154.45816,70284.02966,38228.58612,66539.6851,46491.6781,44586.76917,41983.07564,52501.9895,51602.51613,57563.74811,39009.62664,42459.92035,43799.34261,47031.02647,47746.65192,40168.42141,47779.15521,36674.57691,47041.19707,48427.83709,41256.34171,46369.63556,51155.34544,45894.03395,47210.12068,44075.62416,44129.07801,45095.65772,41819.47267,45692.43625,46359.36619,51407.98692,39705.45229,37315.6311,46670.06992,44604.80182,45636.04948,51330.46864,52793.71913,56140.79347,61721.95157
LysoPC(22:6),87184.16389,85913.23161,75352.32481,66026.96491,100982.4004,90278.27401,88580.96341,97917.82836,78111.64064,105052.8924,60912.06332,110295.0115,64365.49817,70727.90177,72833.07259,83539.70477,88207.57011,90531.75031,68184.5888,90620.53089,88884.77403,97617.78223,90704.09472,92285.51651,99196.89577,81477.99128,104568.6079,100818.4253,102507.7669,87285.3304,95596.32236,101506.2933,101084.3254,92799.04897,99772.84028,73025.37304,79415.51584,95658.68206,109344.1584,104863.6094,76905.46716,79196.74558,90726.57938,72397.10573,83457.76047,89694.11717,96955.10543,98848.6812,106758.0026
LysoPE(0:0/20:0),8664.458944,11487.80032,8275.914074,11100.75787,7815.980414,6372.059228,7619.888189,8877.660899,9672.616993,10764.99641,9902.274787,9008.76391,3901.973168,5703.579974,3977.713843,4854.647591,2741.561626,8174.885166,12046.87114,7849.889535,4270.182938,7532.885937,4225.426047,2816.984874,8438.774126,7966.030861,6281.674331,4522.646681,8300.31651,5680.809039,9682.250963,3497.893688,4837.299627,9786.580399,7311.953246,9447.770823,4265.455029,6639.688934,8783.619845,8304.021387,7465.770012,4215.195043,5882.591745,4538.009591,8455.313385,6757.032553,7790.949868,8935.630192,8463.760694
LysoPE(0:0/20:1),68785.2748,88581.02092,63956.07689,83931.89743,51745.04464,61263.8693,72982.71853,69873.95588,82917.86269,89503.37155,74607.55207,72124.6276,76671.02976,62885.15595,56144.30453,69101.7788,61657.6032,67054.94336,77382.77294,61606.82291,72868.95208,68602.03293,78708.56176,68252.3316,55571.72733,72729.54821,81168.26724,76249.49427,55923.50133,47156.49882,67211.47428,61498.21341,63960.16116,66705.12804,56744.48239,64558.45748,69992.71965,70778.29466,59442.55975,64192.89058,91271.63853,64052.06736,72871.92621,72407.29371,71707.9553,72416.11594,74237.96606,72790.52359,76556.858
LysoPE(0:0/22:0),704.8835496,1228.993996,750.2954972,874.3921427,769.0929403,653.3105188,440.4722017,901.649373,1016.387547,1282.208284,943.7059802,860.1776148,367.6215793,520.1218751,618.6100087,402.0289837,407.4354553,814.8597813,1195.362297,629.2374171,256.8035231,566.5193146,412.9570694,467.8879862,828.9223598,780.5184972,609.225666,428.0433219,827.7412753,688.8427873,907.564862,283.3934059,444.7889241,984.1475992,682.9646134,1201.195631,640.7853446,587.0105307,881.3842729,594.6970008,1065.432008,397.2701317,558.5867065,445.3206749,940.5639462,726.2075894,760.2208576,919.5680709,902.342138
LysoPE(0:0/22:2),4990.539864,4973.89109,4742.553742,4747.052132,4030.936414,4375.031306,5019.983054,5084.513392,4144.401311,5880.290275,4830.221809,5118.627963,5474.676993,4834.922648,5035.107954,4897.466751,5204.007812,5371.512542,5139.173078,4659.875011,5452.46977,4967.534646,5342.917279,4595.476979,5351.035777,5192.900496,5641.368592,5351.961083,4606.258122,4457.813059,5766.256393,5010.180274,4637.711805,4424.486118,4879.308248,5960.985708,5423.686695,5598.382067,4724.949396,5393.449072,5424.562335,5541.318708,5321.488184,5102.647926,5018.547153,5172.10734,5509.718141,5074.718315,5550.355645
LysoPE(15:0/0:0),105.2903556,210.4524877,96.86691004,108.8451803,87.62044606,87.96560851,109.949593,112.1361131,110.8464097,126.7130654,109.7126345,112.883011,105.666181,113.9877227,82.24667253,95.045239,102.049131,63.73312314,100.9115187,92.03786698,108.0669083,99.18932332,83.01109388,111.9720391,102.53855,100.2651542,111.2159413,108.1701473,119.268054,90.44898104,98.02672624,82.573211,96.45440506,100.564864,84.45768387,105.3793245,94.73869333,99.47691417,90.78479396,100.0308374,127.2729755,118.872907,106.8071782,106.0718823,139.9012962,106.9944155,110.6397309,121.8184087,115.0226943
LysoPE(16:1/0:0),17835.29084,17843.61022,13984.42579,17834.55631,13640.04691,13237.54302,16556.97703,16369.5481,11972.70745,21706.69337,15479.71727,17012.99896,14166.3835,12867.39399,13675.09793,14541.4773,17455.85471,14635.05797,11908.68605,13826.14817,17249.51663,14148.06074,14290.26609,12779.53167,12077.4949,12598.05031,18343.2317,19408.4206,12142.87483,10259.1733,13577.4426,12153.12888,13318.228,13512.74759,15611.22941,12174.52291,13139.45837,13336.11369,13670.51323,15592.12656,14755.15724,11376.06885,12524.39887,12457.81384,13568.86315,15205.19726,14740.43307,15325.93081,19907.44104
