Data,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108
,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000
61,0.581558634,0.538871414,1.022648333,1.397971575,0.572076035,0.56019436,0.82085978,0.757718795,0.806085122,0.642023336,0.906005719,0.727416655,0.559875743,0.949086239,0.890355063,0.702281086,1.513064273,0.253901104,0.842352986
62,1.049775101,1.122571024,1.107405791,0.69270328,0.997657705,0.704687976,1.08048252,0.881891194,0.966326165,1.184842693,0.571165324,0.851566356,1.232301546,1.104758588,0.567600748,1.039302396,0.975554505,0.832908547,0.641536907
63,0.979404393,0.751209084,0.722737946,0.993381601,0.661363626,0.704509191,1.099434446,1.058672116,1.221730511,1.40206077,1.010999081,1.162739335,0.997601055,0.782869309,0.928491642,0.904563343,0.933872061,1.369724116,1.077270399
64,0.988286515,1.000570811,0.807270095,0.734183411,0.988920319,0.811590793,0.766573692,0.589951762,0.736412247,1.029252063,0.814799423,0.671392872,0.682273088,0.883721126,1.121094464,0.834122008,0.737425969,0.874034491,0.845673227
65,1.02272117,0.914572522,0.894597434,0.960875302,0.996057863,0.999017426,0.966943066,0.816960269,0.8133661,1.191432549,0.949390911,0.97241469,0.93367012,0.90913446,0.959232216,0.911349633,0.958738535,0.90323879,0.910089745
66,0.962063999,0.977918644,0.781290152,1.044942118,0.86528472,0.890490188,0.973580192,1.118116435,0.90650047,1.164100658,1.071985097,1.127759611,0.846843195,0.966299635,1.070798955,0.980489009,0.921409708,1.163645357,0.891524545
67,0.951251816,0.785670333,0.775313812,0.750279353,0.765874348,0.754081109,1.131764415,0.84021419,0.90831748,1.126327464,0.938251012,1.101418864,0.834542203,1.02682968,1.008939108,0.673557024,1.043591787,1.186397097,0.760956038
68,0.825191972,1.326334706,1.049618208,0.954481608,0.962074634,1.048871334,1.012831925,0.95132944,0.9432573,1.166043722,0.866921437,1.290316982,0.996926682,0.86292761,0.684166025,0.887474962,0.959849117,1.005145113,0.900897169
69,1.037344868,1.080586305,1.042794266,1.114108981,1.037027299,1.001663601,1.086256489,1.049583469,1.17144226,1.17068518,0.820926835,1.017607042,0.777124792,0.978921417,0.728530365,0.970515037,1.337064496,0.836547038,0.911910546
70,0.762302592,1.089464473,0.806604987,1.091715276,0.798914048,0.861832964,0.859091657,0.798368931,0.974318522,0.955346514,0.875323315,1.138693296,0.899819219,0.90252456,0.977577316,1.087292822,1.094777997,0.942665152,1.046586937
